Species,Longitude,Latitude
Melocactus_bahiensis,-41.95,-15.88
Melocactus_bahiensis,-42.93,-16.62
Melocactus_ernestii,-41.52,-16.57
Melocactus_bahiensis,-41.52,-16.57
Rhipsalis_lindbergiana,-43.92,-16.63
Rhipsalis_floccosa,-41.97,-13.53
Pilosocereus_pachycladus,-41.95,-15.88
Pilosocereus_pachycladus,-42.75,-15.38
Pilosocereus_pachycladus,-41.38,-15.97
Cereus_jamacaru,-43.92,-16.63
Cereus_jamacaru,-44.33,-15.83
Cereus_jamacaru,-41.95,-15.88
Tacinga_inamoena,-41.95,-13.53
Cereus_jamacaru,-36.88,-8.57
Tacinga_inamoena,-40.45,-11.15
Pilosocereus_pernambucoensis,-36.88,-8.57
Rhipsalis_floccosa,-36.4,-8.18
Rhipsalis_floccosa,-41.88,-13.28
Tacinga_inamoena,-41.83,-13.28
Rhipsalis_lindbergiana,-38.5,-11.93
Rhipsalis_lindbergiana,-40.53,-11.02
Melocactus_violaceus,-38.17,-12.75
Rhipsalis_lindbergiana,-36.48,-9.05
Tacinga_inamoena,-38.47,-9.35
Pilosocereus_catingicola,-38.2,-9.48
Rhipsalis_lindbergiana,-38.57,-8.6
Melocactus_zehntneri,-41.53,-9.48
Rhipsalis_floccosa,-38.5,-11.93
Rhipsalis_lindbergiana,-40.17,-11.98
Rhipsalis_lindbergiana,-39.73,-12.17
Rhipsalis_lindbergiana,-39.03,-12.25
Rhipsalis_lindbergiana,-40.45,-13.43
Rhipsalis_floccosa,-37.27,-11.25
Rhipsalis_lindbergiana,-40.4,-10.93
Rhipsalis_floccosa,-36.48,-9.05
Rhipsalis_floccosa,-41.33,-11.68
Melocactus_violaceus,-39.03,-16.33
Rhipsalis_floccosa,-41.43,-12.6
Melocactus_ernestii,-41.05,-14.63
Melocactus_zehntneri,-41.42,-11.45
Rhipsalis_lindbergiana,-38.08,-11.93
Melocactus_zehntneri,-43.22,-13.17
Melocactus_zehntneri,-38.3,-7.98
Melocactus_ernestii,-42.78,-14.22
Melocactus_zehntneri,-42.17,-13.63
Melocactus_bahiensis,-40.52,-11.18
Melocactus_violaceus,-40.65,-12.63
Melocactus_ernestii,-41.97,-12.03
Melocactus_zehntneri,-39.43,-13.38
Melocactus_violaceus,-38.35,-12.92
Melocactus_ernestii,-41.33,-11.47
Melocactus_ernestii,-37.27,-8.08
Melocactus_violaceus,-40.52,-11.18
Melocactus_bahiensis,-42.52,-14.28
Melocactus_bahiensis,-38.9,-9.97
Melocactus_zehntneri,-42.52,-14.25
Melocactus_ernestii,-42.65,-14.78
Melocactus_bahiensis,-41.9,-13.53
Melocactus_bahiensis,-39.18,-12.17
Melocactus_bahiensis,-41.83,-13.63
Melocactus_bahiensis,-40.65,-12.63
Melocactus_ernestii,-39.78,-12.78
Melocactus_ernestii,-41,-11.67
Melocactus_bahiensis,-36.63,-8.77
Pilosocereus_pachycladus,-44.37,-13.6
Pilosocereus_catingicola,-37.22,-10.48
Pilosocereus_pachycladus,-40.52,-11.18
Pilosocereus_pachycladus,-40.25,-9.92
Pilosocereus_pachycladus,-41.32,-11.47
Pilosocereus_pernambucoensis,-41.33,-10.33
Pilosocereus_pernambucoensis,-36.62,-9.42
Pilosocereus_pachycladus,-41.47,-13
Pilosocereus_catingicola,-39.73,-12.17
Pilosocereus_pentaedrophorus,-38.95,-11.93
Pilosocereus_pernambucoensis,-36.7,-8.37
Pilosocereus_pernambucoensis,-38.3,-9.08
Pilosocereus_pachycladus,-41.83,-13.58
Pilosocereus_pernambucoensis,-39.47,-9.83
Pilosocereus_catingicola,-36.42,-10.23
Pilosocereus_catingicola,-38.3,-9.08
Pilosocereus_catingicola,-37.42,-10.17
Pilosocereus_pernambucoensis,-39.77,-9.67
Pilosocereus_pentaedrophorus,-37.68,-10.9
Pilosocereus_pachycladus,-41.15,-11.55
Pilosocereus_catingicola,-41.18,-11.43
Pilosocereus_catingicola,-38.22,-9.4
Pilosocereus_catingicola,-37.8,-9.65
Pilosocereus_catingicola,-36.3,-10.25
Cereus_fernambucensis,-39.08,-14.97
Pilosocereus_catingicola,-41.28,-14.02
Epiphyllum_phyllanthus,-41.33,-11.68
Pilosocereus_catingicola,-39.83,-11.23
Pilosocereus_catingicola,-38.98,-12.05
Pilosocereus_pentaedrophorus,-41.47,-13
Pilosocereus_catingicola,-39.02,-10.52
Pilosocereus_pachycladus,-41.9,-13.53
Cereus_albicaulis,-41.32,-11.47
Pilosocereus_pentaedrophorus,-41.8,-12.8
Epiphyllum_phyllanthus,-39.25,-14.25
Cereus_albicaulis,-38.37,-8.9
Cereus_albicaulis,-39.47,-9.83
Cereus_albicaulis,-40.52,-11.18
Cereus_jamacaru,-40.45,-14.5
Cereus_albicaulis,-41.3,-9.67
Epiphyllum_phyllanthus,-36,-8.3
Pilosocereus_catingicola,-38.57,-8.6
Pilosocereus_catingicola,-39.87,-12.9
Cereus_albicaulis,-40.25,-9.92
Cereus_fernambucensis,-39.05,-14.83
Cereus_fernambucensis,-39,-14.3
Cereus_fernambucensis,-38.5,-12.97
Epiphyllum_phyllanthus,-35.5,-7.58
Cereus_albicaulis,-41.78,-12.22
Cereus_jamacaru,-41.67,-14.13
Pilosocereus_catingicola,-39.5,-11.42
Cereus_fernambucensis,-39.03,-15.33
Cereus_jamacaru,-39.87,-9.05
Rhipsalis_floccosa,-41.76,-13.12
Cereus_jamacaru,-40.2,-14.05
Tacinga_palmadora,-37.15,-8.62
Tacinga_palmadora,-40.52,-11.18
Tacinga_palmadora,-40.25,-9.92
Tacinga_palmadora,-40.48,-13.45
Tacinga_inamoena,-37.17,-8.62
Tacinga_palmadora,-41.45,-12.47
Tacinga_palmadora,-41.82,-13.75
Cereus_jamacaru,-38.57,-8.6
